comuna_nombre,anno,tipo_hallazgo,descripcion,monto_asociado,fuente_url
Copiapó,2023,rendicion_cuentas,"Gastos declarados que no corresponden a la naturaleza del programa o fondo.",1100000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/copiapó/informe-2870-2023
Copiapó,2021,beneficios_sociales,"Asignación de beneficios sociales a personas que no cumplen los requisitos de focalización.",77300000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/copiapó/informe-2870-2023
Copiapó,2021,licitacion,"Adjudicación a proveedores que no cumplían requisitos técnicos establecidos en las bases.",19900000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/copiapó/informe-2870-2023
Copiapó,2021,obras_publicas,"Proyectos modificados sustancialmente sin obtener la autorización correspondiente.",234900000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/copiapó/informe-2870-2023
Melipilla,2022,obras_publicas,"Obras ejecutadas que no alcanzan los estándares técnicos especificados en el contrato.",193300000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/melipilla/informe-2944-2023
Melipilla,2021,beneficios_sociales,"Duplicidad en el pago de beneficios a un mismo hogar o individuo.",38000000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/melipilla/informe-2944-2023
Puerto Montt,2023,rendicion_cuentas,"Cargos administrativos que superan los porcentajes máximos permitidos.",22500000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/puerto-montt/informe-3224-2023
Puerto Varas,2023,obras_publicas,"Avance físico de la obra inferior al avance financiero registrado.",72100000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/puerto-varas/informe-3203-2023
Puerto Varas,2023,obras_publicas,"Recepciones de obra sin que medie certificación técnica de cumplimiento.",10100000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/puerto-varas/informe-3203-2023
Quillota,2023,inventario,"Equipos tecnológicos dados de baja sin cumplir el procedimiento oficial.",700000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/quillota/informe-2866-2023
Quillota,2021,licitacion,"Fraccionamiento artificioso de compras para evadir el sistema de licitaciones públicas.",13800000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/quillota/informe-2866-2023
Rancagua,2023,beneficios_sociales,"Subsidios otorgados sin considerar el ingreso familiar real o patrimonio.",2400000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/rancagua/informe-2825-2023
Rancagua,2021,licitacion,"Pagos efectivos sin que medie recepción conforme de los bienes o servicios.",177200000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/rancagua/informe-2825-2023
San Antonio,2022,rendicion_cuentas,"Cargos administrativos que superan los porcentajes máximos permitidos.",6400000,https://www.contraloria.cl/procedimientos/hallazgos/municipal/san-antonio/informe-3073-2023
