nombre,region,presupuesto_total,gasto_educacion,gasto_salud,gasto_infraestructura,m2_areas_verdes,m2_plazas,numero_parques,matricula_total,promedio_simce_matematica,promedio_simce_lenguaje,observaciones_contraloria,anno
Arica,Arica y Parinacota,764895320000,305958128000,175925923600,91787438400,454656,68198,9,24197,250,251,0,2023
Camarones,Arica y Parinacota,981105900000,343387065000,274709652000,156976944000,493267,39461,11,22226,257,261,0,2023
Putre,Arica y Parinacota,443890370000,124289303600,142044918400,71022459200,162268,17849,3,16751,239,241,0,2023
General Lagos,Arica y Parinacota,875846930000,262754079000,227720201800,87584693000,411686,32935,8,20820,268,273,0,2023
Iquique,Tarapacá,853324540000,332796570600,221864380400,127998681000,358432,64518,6,30824,249,251,0,2023
Alto Hospicio,Tarapacá,94756200000,39797604000,24636612000,14213430000,83802,10894,2,4738,238,237,0,2023
Pozo Almonte,Tarapacá,665033400000,259363026000,179559018000,53202672000,225581,29326,4,10875,270,266,0,2023
Pica,Tarapacá,510531380000,168475355400,178685983000,86790334600,411163,41116,10,17237,271,269,0,2023
Huara,Tarapacá,606435840000,218316902400,187995110400,60643584000,283417,45347,6,13687,256,261,0,2023
Colchane,Tarapacá,183100160000,54930048000,58592051200,27465024000,335017,50253,6,5614,269,277,0,2023
Camiña,Tarapacá,134900460000,37772128800,37772128800,13490046000,377607,33985,7,3591,230,234,0,2023
Antofagasta,Antofagasta,590114300000,200638862000,194737719000,53110287000,353438,35344,6,24452,271,268,0,2023
Mejillones,Antofagasta,603271440000,174948717600,168916003200,78425287200,51253,4100,1,18971,263,273,0,2023
Taltal,Antofagasta,285717110000,85715133000,74286448600,48571908700,334558,43493,7,5779,249,253,0,2023
Calama,Antofagasta,602220780000,234866104200,192710649600,66244285800,451650,58715,9,21849,230,243,0,2023
San Pedro de Atacama,Antofagasta,852752030000,324045771400,196132966900,127912804500,191574,30652,5,33598,239,235,0,2023
Tocopilla,Antofagasta,934780490000,327173171500,261738537200,102825853900,136944,23280,3,18219,233,232,0,2023
Ollague,Antofagasta,211750860000,88935361200,57172732200,38115154800,210790,21079,3,4947,228,233,0,2023
